dot_number,legal_name,oos_date,oos_reason,phy_city,phy_state
4539546,MAJOR CHANGE CDC INC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,GREENVILLE,AL
4287893,ZEBEDEECO LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,DALLAS,TX
4256680,GO FAR CARGO INC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,MAYFIELD HTS,OH
4243231,JOHNSONS GROUND HOG TRANSPORTATION LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,DALLAS,TX
4239232,ROUTE 593 LOGISTICS LLC,2026-08-10,Denial of Access,ELIZABETH,NJ
4221142,OCEANAIRE LOGISTICS LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,CEDAR HILL,TX
4218705,J&R ESSENTIAL LOGISTICS LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,COLUMBUS,OH
4217835,ACROSS LANES LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,PHILADELPHIA,PA
4209964,MDK RUIZ MARTINEZ TRUCKING LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,HOUSTON,TX
4209169,JB3 DELIVERY LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,BATON ROUGE,LA
4194121,ACCESS FLOOR SPECIALISTS,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,CEDAR,TX
4179870,JENIN LOGISTICS LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,CINCINNATI,OH
4175274,ZP DIMAS TRANSPORTATION LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,NORTH ROYALTON,OH
4157728,ATTYN LOGISTICS LLC,2026-08-10,New Entrant Revoked - Failure of Safety Audit,MIDDLETOWN,DE
4152312,APEX ROAD CARRIERS INC,2026-08-10,Denial of Access,BROOKHAVEN,GA
4147924,EVERFAST TRANSPORTATION INC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,EASTVALE,CA
4145208,JOHN ZIMMER CONSTRUCTION AND EXCAVATING LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,FLEMING,OH
4261192,CARGO EXPRESS LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,VERONA,MS
4289372,FB CARGO TRANSPORT INC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,CHARLESTON,WV
4133982,RIGHT ANGLE EQUIPMENT REPAIR LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,DEER PARK,WA
4291761,FRONT RUNNER FREIGHT LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,HIALEAH,FL
4376862,DYWI LOGSTICS LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,APPLETON,WI
4371961,A-4 HAULING LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,KNIGHTDALE,NC
4367708,M&J LOGISTICS LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,NEW CANEY,TX
4351300,GARCHA INVESTMENTS LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,FRISCO,TX
4350920,WALUKONGA TRANSPORTATION LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,HOUSTON,TX
4342581,ALI LOVE EXPRESS LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,DALLAS,TX
4340100,JOHN QUANSAH,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,HOUSTON,TX
4335666,GROOTS TRUCKING LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,BOARDMAN,OR
4332570,ZEUS FAST TRANSPORT CORP,2026-08-10,90 day failure to pay fine,MIAMI,FL
4326129,VELMONT LLC,2026-08-10,New Entrant Revoked - Refusal of Audit/No Contact,AMES,IA
